date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2018-11-04,2018,0,0,CLE,KC,,,,,,
2018-11-04,2018,0,0,MIA,NYJ,,,,,,
2018-11-04,2018,0,0,BAL,PIT,,,,,,
2018-11-04,2018,0,0,WSH,ATL,,,,,,
2018-11-04,2018,0,0,DEN,HOU,,,,,,
2018-11-04,2018,0,0,SEA,LAC,,,,,,
2018-11-04,2018,0,0,NO,LAR,,,,,,
2018-11-04,2018,0,0,NE,GB,,,,,,
2018-11-05,2018,0,0,DAL,TEN,,,,,,
2018-11-08,2018,0,0,PIT,CAR,,,,,,
2018-11-11,2018,0,0,TB,WSH,,,,,,
2018-11-11,2018,0,0,NYJ,BUF,,,,,,
2018-11-11,2018,0,0,TEN,NE,,,,,,
2018-11-11,2018,0,0,KC,ARI,,,,,,
2018-11-11,2018,0,0,CHI,DET,,,,,,
2018-11-11,2018,0,0,IND,JAX,,,,,,
2018-11-11,2018,0,0,GB,MIA,,,,,,
2018-11-11,2018,0,0,CLE,ATL,,,,,,
2018-11-11,2018,0,0,CIN,NO,,,,,,
2018-11-11,2018,0,0,OAK,LAC,,,,,,
2018-11-11,2018,0,0,LAR,SEA,,,,,,
2018-11-11,2018,0,0,PHI,DAL,,,,,,
2018-11-12,2018,0,0,SF,NYG,,,,,,
2018-11-15,2018,0,0,SEA,GB,,,,,,
2018-11-18,2018,0,0,BAL,CIN,,,,,,
2018-11-18,2018,0,0,WSH,HOU,,,,,,
2018-11-18,2018,0,0,NO,PHI,,,,,,
2018-11-18,2018,0,0,NYG,TB,,,,,,
2018-11-18,2018,0,0,CHI,MIN,,,,,,
2018-11-18,2018,0,0,DET,CAR,,,,,,
2018-11-18,2018,0,0,IND,TEN,,,,,,
2018-11-18,2018,0,0,ATL,DAL,,,,,,
2018-11-18,2018,0,0,ARI,OAK,,,,,,
2018-11-18,2018,0,0,LAC,DEN,,,,,,
2018-11-18,2018,0,0,JAX,PIT,,,,,,
2018-11-19,2018,1,0,LAR,KC,,,,,,
2018-11-22,2018,0,0,DET,CHI,,,,,,
2018-11-22,2018,0,0,DAL,WSH,,,,,,
2018-11-22,2018,0,0,NO,ATL,,,,,,
2018-11-25,2018,0,0,CAR,SEA,,,,,,
2018-11-25,2018,0,0,BUF,JAX,,,,,,
2018-11-25,2018,0,0,BAL,OAK,,,,,,
2018-11-25,2018,0,0,PHI,NYG,,,,,,
2018-11-25,2018,0,0,NYJ,NE,,,,,,
2018-11-25,2018,0,0,TB,SF,,,,,,
2018-11-25,2018,0,0,IND,MIA,,,,,,
2018-11-25,2018,0,0,CIN,CLE,,,,,,
2018-11-25,2018,0,0,LAC,ARI,,,,,,
2018-11-25,2018,0,0,DEN,PIT,,,,,,
2018-11-25,2018,0,0,MIN,GB,,,,,,
2018-11-26,2018,0,0,HOU,TEN,,,,,,
2018-11-29,2018,0,0,DAL,NO,,,,,,
2018-12-02,2018,0,0,CIN,DEN,,,,,,
2018-12-02,2018,0,0,PIT,LAC,,,,,,
2018-12-02,2018,0,0,TB,CAR,,,,,,
2018-12-02,2018,0,0,GB,ARI,,,,,,
2018-12-02,2018,0,0,HOU,CLE,,,,,,
2018-12-02,2018,0,0,JAX,IND,,,,,,
2018-12-02,2018,0,0,ATL,BAL,,,,,,
2018-12-02,2018,0,0,MIA,BUF,,,,,,
2018-12-02,2018,0,0,DET,LAR,,,,,,
2018-12-02,2018,0,0,NYG,CHI,,,,,,
2018-12-02,2018,0,0,TEN,NYJ,,,,,,
2018-12-02,2018,0,0,OAK,KC,,,,,,
2018-12-02,2018,0,0,NE,MIN,,,,,,
2018-12-02,2018,0,0,SEA,SF,,,,,,
2018-12-03,2018,0,0,PHI,WSH,,,,,,
2018-12-06,2018,0,0,TEN,JAX,,,,,,
2018-12-09,2018,0,0,KC,BAL,,,,,,
2018-12-09,2018,0,0,BUF,NYJ,,,,,,
2018-12-09,2018,0,0,WSH,NYG,,,,,,
2018-12-09,2018,0,0,TB,NO,,,,,,
2018-12-09,2018,0,0,MIA,NE,,,,,,
2018-12-09,2018,0,0,HOU,IND,,,,,,
2018-12-09,2018,0,0,CHI,LAR,,,,,,
2018-12-09,2018,0,0,CLE,CAR,,,,,,
