date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
30/12/2018,2018,0,0,TEN,IND,,,,,,
30/12/2018,2018,0,0,GB,DET,,,,,,
30/12/2018,2018,0,0,HOU,JAX,,,,,,
30/12/2018,2018,0,0,KC,OAK,,,,,,
30/12/2018,2018,0,0,MIN,CHI,,,,,,
30/12/2018,2018,0,0,NE,NYJ,,,,,,
30/12/2018,2018,0,0,NO,CAR,,,,,,
30/12/2018,2018,0,0,NYG,DAL,,,,,,
30/12/2018,2018,0,0,BUF,MIA,,,,,,
30/12/2018,2018,0,0,TB,ATL,,,,,,
30/12/2018,2018,0,0,BAL,CLE,,,,,,
30/12/2018,2018,0,0,DEN,LAC,,,,,,
30/12/2018,2018,0,0,LAR,SF,,,,,,
30/12/2018,2018,0,0,SEA,ARI,,,,,,
